year,long,lat,dist,street
1999,47.473.758,19.078.497,9.,Vágóhíd utca
2000,47.507.615,1.906.999,6.,Szalmás Piroska utca
2000,47.514.199,19.144.834,14.,Csertő utca
2000,47.522.956,19.101.178,14.,Nagy Lajos Király útja
2001,47.504.598,19.079.124,7.,Marek József utca
2002,475.088,19.078.557,7.,Damjanich utca
2003,47.477.688,19.052.543,11.,Lágymányosi utca
2004,47.475.479,19.053.315,11.,Budafoki út
2005,47.477.363,19.052.879,11.,Lágymányosi utca
2006,47.505.324,19.085.791,7.,Cserhát utca
2007,47.505.324,19.085.791,7.,Cserhát utca
2008,47.505.324,19.085.791,7.,Cserhát utca
2009,47.505.324,19.085.791,7.,Cserhát utca
2010,47.505.324,19.085.791,7.,Cserhát utca
2010,47.502.697,19.026.662,1.,Attila út
2010,47.487.506,19.065.444,9.,Üllői út
2011,47.489.421,19.034.744,1.,Hegyalja út
2012,47.489.421,19.034.744,1.,Hegyalja út
2013,47.489.421,19.034.744,1.,Hegyalja út
2013,47.503.429,19.055.281,6.,Bajcsy-Zsilinszky út
2014,47.503.429,19.055.281,6.,Bajcsy-Zsilinszky út
2015,47.503.429,19.055.281,6.,Bajcsy-Zsilinszky út
2015,47.494.671,19.015.321,12.,Hollósy Simon utca
2015,47.524.662,18.997.032,2.,Balogh Ádám utca
2016,47.524.662,18.997.032,2.,Balogh Ádám utca
2016,47.497.896,19.004.045,12.,Kakukk út
