year,lat,long,months,dist,street
1999,47.473.758,19.078.497,12,9.,Vágóhíd utca
2000,47.507.615,19.060.999,6,6.,Szalmás Piroska utca
2000,47.514.199,19.144.834,1,14.,Csertő utca
2000,47.522.956,19.101.178,6,14.,Nagy Lajos Király útja
2001,47.504.598,19.079.124,12,7.,Marek József utca
2002,47.508.8,19.078.557,12,7.,Damjanich utca
2003,47.477.688,19.052.543,12,11.,Lágymányosi utca
2004,47.475.479,19.053.315,12,11.,Budafoki út
2005,47.477.363,19.052.879,12,11.,Lágymányosi utca
2006,47.505.324,19.085.791,50,7.,Cserhát utca
2010,47.502.697,19.026.662,2,1.,Attila út
2010,47.487.506,19.065.444,2,9.,Üllői út
2011,47.489.421,19.034.744,24,1.,Hegyalja út
2013,47.503.429,19.055.281,24,6.,Bajcsy-Zsilinszky út
2015,47.494.671,19.015.321,4,12.,Hollósy Simon utca
2015,47.524.662,18.997.032,15,2.,Balogh Ádám utca
2016,47.497.896,19.004.045,12,12.,Kakukk út
